pathogen_name	study	fine_location	state	county	date	estimated
sars_cov_2	crits_christoph	Oakland	California	Alameda County	2020-06-30	True
sars_cov_2	crits_christoph	Marin	California	Marin County	2020-07-01	True
sars_cov_2	crits_christoph	Marin	California	Marin County	2020-07-01	True
sars_cov_2	crits_christoph	SF	California	San Francisco County	2020-06-30	True
sars_cov_2	crits_christoph	Oakland	California	Alameda County	2020-06-30	True
sars_cov_2	crits_christoph	Oakland	California	Alameda County	2020-06-30	True
sars_cov_2	crits_christoph	Berkeley	California	Alameda County	2020-06-30	True
sars_cov_2	rothman	SB	California	San Diego County	2020-09-10	True
sars_cov_2	rothman	SB	California	San Diego County	2020-09-24	True
sars_cov_2	rothman	SB	California	San Diego County	2020-08-27	True
sars_cov_2	rothman	SB	California	San Diego County	2020-08-13	True
sars_cov_2	rothman	SB	California	San Diego County	2020-10-22	True
sars_cov_2	rothman	PL	California	San Diego County	2020-09-24	True
sars_cov_2	rothman	PL	California	San Diego County	2020-09-10	True
sars_cov_2	rothman	PL	California	San Diego County	2020-08-27	True
sars_cov_2	rothman	PL	California	San Diego County	2020-08-13	True
sars_cov_2	rothman	PL	California	San Diego County	2020-10-22	True
sars_cov_2	rothman	OC	California	Orange County	2020-09-30	True
sars_cov_2	rothman	OC	California	Orange County	2020-09-23	True
sars_cov_2	rothman	OC	California	Orange County	2020-09-16	True
sars_cov_2	rothman	OC	California	Orange County	2020-09-03	True
sars_cov_2	rothman	OC	California	Orange County	2020-09-02	True
sars_cov_2	rothman	OC	California	Orange County	2020-08-26	True
sars_cov_2	rothman	OC	California	Orange County	2020-08-19	True
sars_cov_2	rothman	OC	California	Orange County	2020-08-12	True
sars_cov_2	rothman	OC	California	Orange County	2020-10-07	True
sars_cov_2	rothman	NC	California	San Diego County	2020-09-11	True
sars_cov_2	rothman	NC	California	San Diego County	2020-08-28	True
sars_cov_2	rothman	NC	California	San Diego County	2020-08-14	True
sars_cov_2	rothman	NC	California	San Diego County	2020-10-23	True
sars_cov_2	rothman	NC	California	San Diego County	2020-10-09	True
sars_cov_2	rothman	JWPCP	California	Los Angeles County	2020-09-22	True
sars_cov_2	rothman	JWPCP	California	Los Angeles County	2020-09-15	True
sars_cov_2	rothman	JWPCP	California	Los Angeles County	2020-09-08	True
sars_cov_2	rothman	JWPCP	California	Los Angeles County	2020-09-01	True
sars_cov_2	rothman	JWPCP	California	Los Angeles County	2020-08-25	True
sars_cov_2	rothman	JWPCP	California	Los Angeles County	2020-08-18	True
sars_cov_2	rothman	JWPCP	California	Los Angeles County	2020-08-11	True
sars_cov_2	rothman	JWPCP	California	Los Angeles County	2020-10-13	True
sars_cov_2	rothman	JWPCP	California	Los Angeles County	2020-10-06	True
sars_cov_2	rothman	JWPCP	California	Los Angeles County	2020-10-27	True
sars_cov_2	rothman	JWPCP	California	Los Angeles County	2020-10-20	True
sars_cov_2	rothman	HTP	California	Los Angeles County	2020-09-15	True
sars_cov_2	rothman	HTP	California	Los Angeles County	2020-09-08	True
sars_cov_2	rothman	HTP	California	Los Angeles County	2020-09-01	True
sars_cov_2	rothman	HTP	California	Los Angeles County	2020-08-25	True
sars_cov_2	rothman	HTP	California	Los Angeles County	2020-08-18	True
sars_cov_2	rothman	HTP	California	Los Angeles County	2020-08-11	True
sars_cov_2	rothman	HTP	California	Los Angeles County	2020-10-27	True
sars_cov_2	rothman	HTP	California	Los Angeles County	2020-10-20	True
sars_cov_2	rothman	HTP	California	Los Angeles County	2020-10-13	True
sars_cov_2	rothman	HTP	California	Los Angeles County	2020-10-02	True
sars_cov_2	rothman	SJ	California	Los Angeles County	2020-09-23	True
sars_cov_2	rothman	SJ	California	Los Angeles County	2020-11-04	True
sars_cov_2	rothman	SJ	California	Los Angeles County	2020-11-18	True
sars_cov_2	rothman	SJ	California	Los Angeles County	2020-11-11	True
sars_cov_2	rothman	SB	California	San Diego County	2020-11-05	True
sars_cov_2	rothman	SB	California	San Diego County	2020-10-08	True
sars_cov_2	rothman	PL	California	San Diego County	2020-12-28	True
sars_cov_2	rothman	PL	California	San Diego County	2020-12-22	True
sars_cov_2	rothman	PL	California	San Diego County	2020-12-14	True
sars_cov_2	rothman	PL	California	San Diego County	2020-11-05	True
sars_cov_2	rothman	PL	California	San Diego County	2020-11-30	True
sars_cov_2	rothman	PL	California	San Diego County	2020-11-29	True
sars_cov_2	rothman	PL	California	San Diego County	2021-01-04	True
sars_cov_2	rothman	PL	California	San Diego County	2021-01-03	True
sars_cov_2	rothman	OC	California	Orange County	2020-12-21	True
sars_cov_2	rothman	OC	California	Orange County	2020-12-14	True
sars_cov_2	rothman	OC	California	Orange County	2020-11-09	True
sars_cov_2	rothman	OC	California	Orange County	2020-11-04	True
